40.72,42.13,45.63,51.42,59.34,69.1,81.4,96.25,112.69,130.14,148.7,166.72,187.83,213.94,237.88,260.4,284.01,302.18,322.46,352.18,377.72,395.01,418.81,432.32,437.72,458.78,484.91,491.54,498.77,508.66,501.41,496.72,515.7,516.33,505.7,502.66,489.63,460.66,458.78,457.9,434.85,415.58,398.09,365.33,339.13,333.38,311.14,281.8,262.92,235.12,202.72,187.83,174.65,148.99,130.65,113.34,93.06,79.01,71.27,60.5,51.32,46.43,41.55,38.8
40.4,41.47,45.63,52.13,59.92,70.46,81.56,93.06,111.16,132.42,149.57,170.68,192.29,208.54,226.84,262.92,286.76,306.36,334.03,351.49,356.57,388.85,424.47,437.39,451.76,470.57,467.19,472.45,503.63,517.53,511.36,516.7,509.71,491.46,497.82,510.44,496.31,482.11,466.03,430.71,421.34,424.47,401.17,374.8,354.92,320.54,293.82,284.56,266.46,236.96,215.18,189.32,160.12,148.12,132.67,113.78,97,81.88,65.97,57.6,53.53,46.25,42.29,41.6
41.76,42.62,45.54,50.62,57.94,70.05,83.32,96.44,112.69,129.38,144.63,166.39,194.9,216.01,236.04,258.88,274.08,299.79,334.67,356.98,376.26,397.32,405.88,417.12,451.76,475.1,481.18,491.54,493.91,484.02,510.36,525.7,513.71,513.35,505.7,479.32,476.27,493.3,472.38,450.01,434.85,400.22,381.92,381.37,359.73,331.46,308.15,275.18,249.27,238.8,218.51,191.92,170.68,147.25,123.05,112.25,99.63,82.52,69.91,59.22,48.81,45.72,43.36,41.28
41.6,42.29,45.72,51.72,58.76,68.15,82.2,97.56,112.03,129.89,148.41,165.07,189.32,215.6,237.42,259.89,283.45,299.2,321.82,355.61,378.45,395.78,416.39,428.94,433.34,466.94,486.77,490.59,501.69,505.7,490.47,503.71,521.7,514.34,505.7,501.69,480.09,460.66,466.03,459.65,434.01,416.39,394.24,363.14,344.62,337.88,309.35,283.45,260.9,229.6,206.46,193.41,171.67,149.86,131.15,110.5,91.93,82.36,70.87,59.92,52.13,45.72,40.32,40.16
40.08,41.39,46.08,52.03,59.8,70.05,80.92,93.43,112.69,131.41,149.86,170.35,190.06,206.05,231.44,263.94,286.21,307.56,331.46,345.31,362.41,398.86,422.05,434.85,451.76,462.41,463.46,485.81,506.55,510.63,513.35,513.71,498.71,496.44,508.66,507.52,494.4,481.18,458.78,432.46,430.63,422.86,398.86,376.26,350.8,317.97,300.39,287.31,262.42,238.34,214.77,187.46,162.76,149.28,131.91,113.34,97.19,81.4,67.46,58.06,52.53,46.43,42.46,41.2
40.56,41.23,45.63,52.33,59.22,70.19,82.2,93.25,110.94,132.17,149.57,169.03,193.41,208.95,227.76,263.43,286.21,303.97,334.67,350.8,358.76,391.93,426.09,429.79,453.51,471.47,461.59,478.18,509.46,507.67,509.37,522.7,504.71,489.47,511.62,504.6,488.68,484.91,465.13,428.95,428.1,423.67,396.55,376.26,356.3,321.18,294.42,286.76,263.43,235.58,216.43,189.69,162.43,148.41,132.67,112.69,97,82.36,66.51,58.52,52.63,45.99,42.46,41.52
40.24,41.55,46.16,51.83,59.8,69.64,80.28,94,113.34,130.9,148.7,171.01,189.32,206.88,233.28,263.94,283.45,307.56,330.82,341.88,363.14,398.86,419.62,431.48,453.51,460.59,459.73,489.63,507.52,505.7,513.35,513.71,489.72,499.42,515.56,499.74,490.59,482.11,455.15,428.95,435.7,422.05,395.01,378.45,350.12,315.4,302.18,290.07,260.4,235.58,215.18,183.37,164.08,150.44,131.91,112.47,97.19,80.76,65.97,59.92,52.63,45.9,42.71,40.88
41.52,42.29,46.16,49.82,57.48,70.87,83.48,96.44,113.56,128.37,141.44,169.36,195.64,213.52,237.88,260.4,268.57,298.6,339.81,355.61,372.62,399.63,402.64,415.43,456.15,476.01,478.38,495.36,491.96,479.09,512.35,527.7,510.71,515.34,506.69,477.38,478.18,492.37,470.57,450.88,436.54,392.13,384.23,385.74,354.24,328.89,312.33,271.32,247.25,240.64,217.68,190.43,171.67,145.21,123.05,113.78,98.88,81.08,70.73,58.99,48.11,46.34,43.69,40.64
41.52,42.54,45.54,49.92,58.06,70.87,83.16,96.81,112.91,127.36,144.05,170.02,194.9,215.18,236.96,257.87,271.87,302.78,334.03,356.98,376.99,395.01,401.03,422.19,455.27,471.47,482.11,493.45,489.05,485.99,509.37,521.7,518.7,515.34,502.75,482.24,480.09,483.97,474.19,455.27,433.16,401.03,383.46,375.53,358.36,334.03,308.15,277.39,248.77,234.66,216.43,193.78,171.01,147.83,125.58,110.28,97.19,83.8,70.73,59.57,49.52,44.56,42.71,41.52
41.36,42.46,45.1,49.52,59.34,71,83.16,97.37,111.81,125.58,145.21,172,193.78,214.35,237.42,252.81,272.98,306.36,337.24,357.67,376.26,391.16,399.41,427.25,457.9,474.19,483.04,488.68,478.35,490.92,519.32,521.7,519.7,514.34,495.85,477.38,487.72,487.7,470.57,454.39,430.63,402.64,387.31,380.64,360.41,332.74,306.36,274.63,251.3,236.04,217.68,193.78,170.02,146.67,124.57,111.37,98.13,83.64,70.59,59.34,49.82,44.38,42.95,41.92
